names,cas number,smiles,kso4,kOH_rescale,chemical class,Set
2-amino-3-(3H-imidazol-4-yl)propanoic acid,7006-35-1,NC(Cc1[nH]cnc1)C(O)=O,"2,50E+09","0,869699432",CarboxylicAcid,train
NAPHTHALENE,91-20-3,c1ccc2ccccc2c1,"2,90E+09","0,880492851",Alkene,train
"N,N,9-trimethylpurin-6-amine",3013-82-9,CN(C)c1ncnc2n(C)cnc12,"4,00E+09","0,903879098",Amine,train
4-Methoxybenzoic acid,100-09-4,COc1ccc(cc1)C(O)=O,"3,50E+09","0,89416841",CarboxylicAcid,train
Z,6950241,COc1cccc(OC)c1C([O-])=O,"2,50E+09","0,869699432",CarboxylicAcid,train
"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",50-28-2,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,"1,21E+09","0,816927135",Alcohol,train
2-Hydroxybutanedioic acid,617-48-1,OC(CC(O)=O)C(O)=O,"7,70E+06","0,449160021",CarboxylicAcid,train
2-Aminopropanoic acid,6898-94-8,CC(N)C(O)=O,"1,00E+07","0,468167024",CarboxylicAcid,train
PHENOL,108-95-2,Oc1ccccc1,"1,01E+10","0,971237322",Alcohol,train
"1,2-DICHLORO-4-(CHLOROMETHYL)BENZENE",102-47-6,ClCc1ccc(Cl)c(Cl)c1,"2,00E+08","0,686023061",Halogen,train
2-methylpropyl 2-methylprop-2-enoate,97-86-9,CC(C)COC(=O)C(C)=C,"9,10E+06","0,46130855",Ester,train
(E)-but-2-enedioate,142-42-7,[O-]C(=O)/C=C/C([O-])=O,"1,60E+07","0,502346689",CarboxylicAcid,train
6-aminophenalen-1-one,70402-14-1,O=C1C=CC2=C3C1=CC=CC3=C(N)C=C2,"1,10E+10","0,977444872",Amine,train
2-hydroxypropanoic acid,598-82-3,CC(O)C(O)=O,"1,00E+07","0,468167024",CarboxylicAcid,train
Phenylthiourea,103-85-5,NC(=S)Nc1ccccc1,"4,30E+09","0,90913841",Sulfur,train
5-acetyloxypentyl acetate,6963-44-6,CC(=O)OCCCCCOC(C)=O,"4,30E+07","0,574240617",Ester,train
N-(hydroxymethyl)prop-2-enamide,924-42-5,OCNC(=O)C=C,"9,10E+06","0,46130855",Alcohol,train
4-Chlorobenzoic acid,74-11-3,OC(=O)c1ccc(Cl)cc1,"3,60E+08","0,72876816",CarboxylicAcid,train
"[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate",653-63-4,Nc1ncnc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO[P](O)(O)=O)O3,"2,20E+09","0,860403117",Amine,train
3170-83-0,3170-83-0,O[O-],"3,50E+09","0,89416841",oxide,train
9H-Fluorene,86-73-7,C1c2ccccc2c3ccccc13,"2,50E+09","0,869699432",Alkane,train
2-amino-3-(1H-indol-3-yl)propanoic acid,6912-86-3,NC(Cc1c[nH]c2ccccc12)C(O)=O,"2,00E+09","0,853471957",CarboxylicAcid,train
"[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl [(2R,3R,5S)-3-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl] hydrogen phosphate",19192-40-6,CC1=CN([C@@H]2C[C@H](CO)[C@H](O2)O[P](O)(=O)OC[C@H]3O[C@H](C[C@@H]3O)n4cnc5c(N)ncnc45)C(=O)NC1=O,"2,00E+09","0,853471957",Amine,train
prop-2-en-1-ol,107-18-6,OCC=C,"3,00E+09","0,882958244",Alcohol,train
Cyclopentanol,96-41-3,OC1CCCC1,"2,80E+08","0,710492039",Alcohol,train
2-Ethylnaphthalene,939-27-5,CCc1ccc2ccccc2c1,"2,00E+09","0,853471957",Alkene,train
3-methylphenol,108-39-4,Cc1cccc(O)c1,"6,58E+09","0,940075839",Alcohol,train
"1,1,2-TRICHLOROETHANE",79-00-5,ClCC(Cl)Cl,"3,15E+06","0,384159679",Halogen,train
1-Chloro-3-methylbenzene,108-41-8,Cc1cccc(Cl)c1,"9,00E+08","0,795402775",Halogen,train
"N,N-DIMETHYL-4-NITROSOANILINE",138-89-6,CN(C)c1ccc(cc1)N=O,"2,30E+09","0,863635743",Amine,train
PROPANE,74-98-6,CCC,"4,00E+07","0,568981305",Alkane,train
oxalic acid,144-62-7,OC(=O)C(O)=O,"1,10E+06","0,307649287",CarboxylicAcid,train
"1,3-DIBROMOBENZENE",108-36-1,Brc1cccc(Br)c1,"5,00E+08","0,752657676",Halogen,train
